Resumo;Chave do item;ID do item;ID principal;Tipo de Item;Situação;Chave do projeto;Nome do projeto;Tipo de projeto;Líder do projeto;Descrição do projeto;URL do projeto;Prioridade;Resolução;Responsável;Solicitante;Criador;Criado;Atualizado;Última visualização;Resolvido;Componente(s);Componente(s);Data para Ficar Pronto;Votos;Descrição;Ambiente;Acompanhadores;Acompanhadores;Acompanhadores;Tempo Estimado;Tempo Restante;Tempo Gasto;Razão Trabalhada;Σ da Estimativa Original;Σ da Estimativa Restante;Σ Tempo Gasto;Nível de Segurança;Anexos;Anexos;Campo personalizado (Ambiente de teste);Campo personalizado (CSV Link);Campo personalizado (Conclusão prevista para);Campo personalizado (Critério de Aceite);Campo personalizado (Duration [Gantt]);Campo personalizado (End Date [Gantt]);Campo personalizado (Epic Link);Campo personalizado (Equipe);Campo personalizado (Estimativa Genérica);Campo personalizado (Início alvo);Campo personalizado (Link para pai);Campo personalizado (Marcado);Campo personalizado (Notebook link);Campo personalizado (Perfis de acesso);Campo personalizado (Pontos da História);Campo personalizado (Pontos da história originais);Campo personalizado (Projeto);Campo personalizado (Rank);Sprint;Sprint;Sprint;Sprint;Campo personalizado (Start Date [Gantt]);Campo personalizado (Tela do figma);Comentário;Comentário;Comentário
Verificar viabilidade job de build usando kaniko no modelo atual;IZY-3510;31476;31410;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;paulo.vanzo;paulo.vanzo;paulo.vanzo;11/12/24 17:18:11;20/12/24 13:40:17;06/01/25 14:56:12;20/12/24 13:37:40;;;;0;;;paulo.vanzo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i030gc:";Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;"20/12/24 13:40:17;paulo.vanzo;Kaniko não pode ser utilizado hoje pelo fato de que o job entra em OOMKill pelo tamanho da imagem Java gerada.;;;";;
[FrontEnd] Integrar drawer do dispositivo mibo com o backend;IZY-3509;31471;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;11/12/24 12:47:33;26/12/24 15:51:25;06/01/25 14:56:12;26/12/24 15:51:25;FRONT;;;0;"*[Descrição]*

Ao clicar no botão de salvar, realizar requisição para atualizar o nome do dispositivo mibo para o novo nome";;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i030f8:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Abrir drawer de dispositivo mibo ao clicar no dispositivo mibo;IZY-3508;31469;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;11/12/24 12:46:30;20/12/24 10:11:02;06/01/25 14:56:12;20/12/24 10:11:02;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i030es:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
Propor jornada do usuário para gestão de contas e vincular contas Tuya e Imou;IZY-3507;31436;;Spike;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;paulina.trojaike.labcomu;eliezio.soares;eliezio.soares;10/12/24 09:41:21;18/12/24 16:53:06;10/12/24 14:36:49;;UX/UI;;;0;"Projetar uma proposta de jornada de usuário para a funcionalidade de vinculação de contas Tuya e Imou no sistema, assegurando uma experiência do usuário consistente e intuitiva.
 * O sistema permitirá aos usuários vincular suas contas Tuya e Imou para centralizar a gestão de dispositivos.
 * Atualmente, não há um fluxo definido para essa funcionalidade, visto que a conta Izy Manager é a mesma conta Tuya. É necessário estruturar a jornada do usuário, desde a criação da conta Izy, a intenção de vincular contas Tuya ou IMOU, até a confirmação da integração.

2.{*}Expectativa{*}:
 *  Apresentar através de protótipos um mapeamento da experiência ideal para o usuário, considerando:
 ** Identificação clara do ponto de partida para vincular contas (ex.: botão no dashboard, configurações do usuário, etc.).
 ** Telas ou etapas necessárias (ex.: autenticação, permissões, status da vinculação).
 ** Indicação de erros (ex.: falha na autenticação) e confirmações (ex.: conta vinculada com sucesso).
 *** Recomendações de mensagens de erro e sucesso para maior clareza ao usuário.

 

*Os protótipos e seus componentes devem ser revisados e aprovados pelo PO, time de design da Intelbras e equipe de desenvolvimento para validar viabilidade técnica.*";;eliezio.soares;paulina.trojaike.labcomu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xnh:s";Izy - Cycle 24.1 Sprint 3;;;;;;"12/12/24 12:41:53;paulina.trojaike.labcomu;https://www.figma.com/design/SbiCFPyIz3VSLnH52C1onE/C%C3%B3pia---Figma-Izy-Manager?node-id=16-2&node-type=canvas&t=0QZYRpJEIn1MZucD-0;;;";"18/12/24 16:53:06;paulina.trojaike.labcomu; - Novos componentes criados

 - Hide Sidebar feita

 

 - Fluxo de usuário e contas em andamento

 ;;;";
Passar id do usuário durante requisição para vincular token da mibo;IZY-3506;31411;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;09/12/24 15:14:50;09/12/24 15:18:09;06/01/25 14:56:12;09/12/24 15:18:09;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i03038:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
Resolver problema de acesso da pipeline com o registry;IZY-3505;31410;;Problema;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;paulo.vanzo;paulo.vanzo;paulo.vanzo;09/12/24 15:06:13;20/12/24 13:37:52;11/12/24 17:24:34;20/12/24 13:37:52;;;;0;"Pipeline de develop com o erro:
unauthorized: unauthorized to access repository: smarter/smarter-frontend, action: push: unauthorized to access repository: smarter/smarter-frontend, action: push

https://git.intelbras.com.br/iot-tic/izy/izy-web-frontend/-/jobs/1277906";;paulo.vanzo;;;;;;;;;;;;;;;;;;;;;;;;Impedimento;;;;;;"0|i02xmm:";Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;"11/12/24 17:14:26;paulo.vanzo;O usuário na AWS não tem acesso SSH à máquina do runner impossibilitando a alteração no runner, pode-se avaliar 2 opções, utilizar a imagem do Kaniko e passar as credenciais via pipeline, ou criar o runner diretamente no k8s e configurar scale de máquina para ele, deletando a máquina do runner.;;;";"11/12/24 17:17:33;paulo.vanzo;Começarei a análise do uso do kaniko, posteriormente, a possibilidade de utilizar o runner no k8s.;;;";
[BACK] Criar model de token  mibo vinculado ao usuário izy;IZY-3504;31314;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;leonandro.gurgel;leonandro.gurgel;06/12/24 14:00:03;16/12/24 08:36:46;06/01/25 14:56:12;16/12/24 08:36:46;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02zzo:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[BACK] Alterar o endpoint de vinculação para receber o código de validação imou;IZY-3503;31313;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;leonandro.gurgel;leonandro.gurgel;06/12/24 13:59:28;16/12/24 08:36:53;06/01/25 14:56:12;16/12/24 08:36:53;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02zzg:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Modificar modal de vincular conta para vincular token;IZY-3502;31308;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;06/12/24 10:28:39;06/12/24 15:19:46;06/01/25 14:56:12;06/12/24 15:19:46;FRONT;;;0;"*[Descrição]*

Ao vincular conta na Mibo, o usuário será redirecionado novamente para o IzyManager para finalizar o vinculo da conta. 

 

*[Objetivo]*

Atualizar modal de vincular conta para aparecer quando o usuário retornar ao IzyManager e escrever um apelido e email para o novo token. E atualizar parametros do endpoint de vincular conta para passar o email, apelido e code.";;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02zyc:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Redirecionar para tela de login mibo ao clicar em vincular;IZY-3501;31307;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;06/12/24 10:24:05;06/12/24 11:44:55;06/01/25 14:56:12;06/12/24 11:44:55;FRONT;;;0;"*[Descrição]*

Quando o usuário for vincular uma conta mibo, ele deverá clicar no botão de vincular conta no menu de usuário e ser redirecionado para tela de login da mibo, onde será feito o vinculo

 

*[Objetivo]*

Alterar comportamento do botão de vincular no menu de usuario para redirecionar para tela Mibo em vez de abrir o modal de vincular conta";;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02zy4:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
